slug,name,city,state,address,full_address
market-lane,Mister Car Wash Market Lane,Kenosha,WI,3677 Market Lane,"3677 Market Lane, Kenosha, WI"
castle-manor,Mister Car Wash Castle Manor,Greenfield,WI,4763 S 27th St,"4763 S 27th St, Greenfield, WI"
badger-dr,Mister Car Wash Badger,Hudson,WI,2251 Badger Drive,"2251 Badger Drive, Hudson, WI"
university-ave,Mister Car Wash University Ave,Madison,WI,2202 University Ave,"2202 University Ave, Madison, WI"
cudahy-wash,Mister Car Wash Cudahy,Cudahy,WI,5506 S Packard Ave,"5506 S Packard Ave, Cudahy, WI"
menomonee-falls-wash,Mister Car Wash Menomonee Falls,Menomonee Falls,WI,N95w18255 Appleton Ave,"N95w18255 Appleton Ave, Menomonee Falls, WI"
rawson-wash,Mister Car Wash Rawson Wash,Franklin,WI,7700 W Rawson Ave,"7700 W Rawson Ave, Franklin, WI"
howell,Mister Car Wash Howell,Milwaukee,WI,160 W Layton Ave,"160 W Layton Ave, Milwaukee, WI"
oklahoma-ave,Mister Car Wash Oklahoma Ave,Milwaukee,WI,2006 W Oklahoma Ave,"2006 W Oklahoma Ave, Milwaukee, WI"
good-hope,Mister Car Wash Good Hope,Milwaukee,WI,7338 W Good Hope Rd,"7338 W Good Hope Rd, Milwaukee, WI"
miller-park-way,Mister Car Wash Miller Park Way,Milwaukee,WI,2260 Miller Park Way,"2260 Miller Park Way, Milwaukee, WI"
greenfield,Mister Car Wash Greenfield,Milwaukee,WI,10685 W Layton Ave,"10685 W Layton Ave, Milwaukee, WI"
oshkosh,Mister Car Wash Oshkosh,Oshkosh,WI,1490 Capital Dr,"1490 Capital Dr, Oshkosh, WI"
brookfield,Mister Car Wash Brookfield,Brookfield,WI,19050 W Bluemound Rd,"19050 W Bluemound Rd, Brookfield, WI"
park-st,Mister Car Wash Park St,Madison,WI,907 S Park St,"907 S Park St, Madison, WI"
washington,Mister Car Wash Washington,Madison,WI,1039 E Washington Ave,"1039 E Washington Ave, Madison, WI"
